Biosample,Species,Strain,Strain_MGI_ID,Strain_Type,Gene,Gene_MGI_ID,Zygosity,Genotype,Anatomy,Treatment,Experimental_Group,Sex,Stage,Life_Phase,Protocol,Scanner,Pipeline_Stage,Study,Dataset,Availability
ap2_3-13-10_66_e10-5,Mouse,Crl:NIHBL(S),MGI:6383656,Outbred,Tfap2a,MGI:104671,NA,Tfap2aNA,Head,NA,NA,NA,E10.5,Mid_Gestation,NA,Skyscan,Nonlinear,NA,Ap2,YES
ap2_3-13-10_67_e10-5,Mouse,Crl:NIHBL(S),MGI:6383656,Outbred,Tfap2a,MGI:104671,NA,Tfap2aNA,Head,NA,NA,NA,E10.5,Mid_Gestation,NA,Skyscan,Nonlinear,NA,Ap2,YES
ap2mut_1-11-10_1_e10-5,Mouse,Crl:NIHBL(S),MGI:6383656,Outbred,Tfap2a,MGI:104671,Flox/Null,Tfap2afl/-,Head,NA,Mutant,NA,E10.5,Mid_Gestation,NA,Skyscan,Nonlinear,NA,Ap2,YES
ap2mut_1-11-10_4_e10-5,Mouse,Crl:NIHBL(S),MGI:6383656,Outbred,Tfap2a,MGI:104671,Flox/Null,Tfap2afl/-,Head,NA,Mutant,NA,E10.5,Mid_Gestation,NA,Skyscan,Nonlinear,NA,Ap2,YES
ap2mut_1-15-10_10_e10-5,Mouse,Crl:NIHBL(S),MGI:6383656,Outbred,Tfap2a,MGI:104671,Flox/Null,Tfap2afl/-,Head,NA,Mutant,NA,E10.5,Mid_Gestation,NA,Skyscan,Nonlinear,NA,Ap2,YES
ap2mut_1-15-10_6_e10-5,Mouse,Crl:NIHBL(S),MGI:6383656,Outbred,Tfap2a,MGI:104671,Flox/Null,Tfap2afl/-,Head,NA,Mutant,NA,E10.5,Mid_Gestation,NA,Skyscan,Nonlinear,NA,Ap2,YES
ap2mut_1-15-10_8_e10-5,Mouse,Crl:NIHBL(S),MGI:6383656,Outbred,Tfap2a,MGI:104671,Flox/Null,Tfap2afl/-,Head,NA,Mutant,NA,E10.5,Mid_Gestation,NA,Skyscan,Nonlinear,NA,Ap2,YES
ap2mut_1-15-10_9_e10-5,Mouse,Crl:NIHBL(S),MGI:6383656,Outbred,Tfap2a,MGI:104671,Flox/Null,Tfap2afl/-,Head,NA,Mutant,NA,E10.5,Mid_Gestation,NA,Skyscan,Nonlinear,NA,Ap2,YES
ap2mut_1-25-10_12_e10-5,Mouse,Crl:NIHBL(S),MGI:6383656,Outbred,Tfap2a,MGI:104671,Flox/Null,Tfap2afl/-,Head,NA,Mutant,NA,E10.5,Mid_Gestation,NA,Skyscan,Nonlinear,NA,Ap2,YES
ap2mut_1-25-10_17_e10-0,Mouse,Crl:NIHBL(S),MGI:6383656,Outbred,Tfap2a,MGI:104671,Flox/Null,Tfap2afl/-,Head,NA,Mutant,NA,E10.5,Mid_Gestation,NA,Skyscan,Nonlinear,NA,Ap2,YES
